Company,Unit,Year,Age, Size,AI,ROA,ROE,RE,TA,Maturity,Risk
Alma Media Finland Oy,1,2021,31,7.954137779,0,0.15,0.43,556464,"70,470,391",0.79,0.00789
Alma Media Finland Oy,1,2022,32,7.925694427,1,0.12,0.3,481462,"58,008,227",0.83,0.008299892
Alma Media Finland Oy,1,2023,33,7.932966673,2,0.07,0.15,426465,"49,321,697",0.86,0.0086466
Tokmanni ,2,2021,32,9.153446502,0,11.95,39.89,98289592,"924,823",6.86,106.2793551
Tokmanni ,2,2022,33,9.124876639,2,9.24,29.68,82601924,"846,691",6.19,97.55852371
Tokmanni ,2,2023,34,9.097285623,2,4.85,25.77,87675552,"1,558,420",4.85,56.25925745
Finnair,3,2021,98,9.008753425,0,-11.46,-209.54,-425866323,"4,583,747",-9.29,-92.90790329
Finnair,3,2022,99,9.427692395,0,-11.52,-90.26,-417914676,"4,408,256",-9.48,-94.8027238
Finnair,3,2023,100,9.535507991,1,6.88,20.64,366001626,"4,086,292",8.96,89.56815274
Remedy,4,2021,26,8.308532904,0,8.7,10.06,17960087,"114,535",8.69,156.8087222
Remedy,4,2022,27,8.266403802,2,-1.73,-1.95,8659049,"106,182",3.9,81.5491232
Remedy,4,2023,28,8.2235199,2,-28.59,-33.44,-13035996,"87,582",-6.28,-148.843324
Sanoma Oy,5,2021,23,7.888555757,3,5.2,7.2,446700000,"1,932.50",32.45,231151.3583
Sanoma Oy,5,2022,24,7.910997716,3,3.8,6,460800000,"2,103.60",32.2,219053.0519
Sanoma Oy,5,2023,25,7.710058101,3,-0.2,-0.3,401300000,"2,036.60",26.89,197044.0931
VERKKOKAUPPA.COM OYJ,6,2021,29,7.764160173,0,10.99,53.1,32094336,"195,171",12.62,164.4421354
VERKKOKAUPPA.COM OYJ,6,2022,30,7.79044735,0,0.36,2.32,17345578,"183,661",7.95,94.44344744
VERKKOKAUPPA.COM OYJ,6,2023,31,7.793816867,3,1.55,9.74,21287351,"198,106",8.93,107.4543477
FISKARS OYJ ABP,7,2021,372,9.026649756,0,6.03,10.61,568083187,"1,625,848",34.94,349.4073167
FISKARS OYJ ABP,7,2022,373,9.014683551,0,6.2,11.75,549740070,"1,690,987",32.51,325.1001161
FISKARS OYJ ABP,7,2023,374,9.044793285,0,3.98,8.49,507239535,"1,939,165",26.16,261.5762635
HARVIA OYJ,8,2021,71,8.382103399,0,16.71,40.02,123139183,"228,210",53.96,539.5871478
HARVIA OYJ,8,2022,72,8.400992497,0,12.97,27.54,133884581,"222,705",60.12,601.1745628
HARVIA OYJ,8,2023,73,8.364096425,0,10.86,21.42,142714467,"236,762",60.28,602.7760663
HONKARAKENNE OY,9,2021,63,7.704646445,0,8.37,13.73,1381000,"38,622",3.21,35.75682254
HONKARAKENNE OY,9,2022,64,7.667557582,0,8.61,12.99,2181000,"36,575",5.22,59.63089542
HONKARAKENNE OY,9,2023,65,7.57459863,0,-0.79,-1.22,2600000,"27,185",6.84,95.64097848
ILKKA OYJ,10,2021,115,9.13885824,0,3.19,3.76,14437786,"233,102",6.19,61.93763245
ILKKA OYJ,10,2022,116,9.154767742,0,0.39,0.47,7471151,"198,938",3.76,37.55517297
ILKKA OYJ,10,2023,117,9.185312624,0,2.6,3.08,11612842,"204,579",5.68,56.76458483
KAMUX OYJ,11,2021,18,9.113054707,0,8.73,18.55,38198966,"254,269",15.02,150.2305275
KAMUX OYJ,11,2022,19,9.096944546,0,5.28,9.96,30519274,"218,226",13.99,139.8516859
KAMUX OYJ,11,2023,20,9.188525303,0,4.45,8.59,32108005,"238,349",13.47,134.710047
KESKISUOMALAINEN OYJ,12,2021,151,8.814073704,0,3.22,7.61,20800218,"242,384",8.58,85.81514456
KESKISUOMALAINEN OYJ,12,2022,152,8.763620229,0,3.81,9.02,19466432,"208,827",9.32,93.21798426
KESKISUOMALAINEN OYJ,12,2023,153,8.745165242,0,-8.15,-22.66,-4422466,"176,904",-2.5,-24.99924253
