Company,Unit,Year,Age,Size,AI,ROA,ROE,RE,TA,Maturity,Risk
Nordic Retail Group Oyj,1,2021,34,8.9091,2,-7.52,-3.85,725834,3601512,20.15,143.53
Nordic Retail Group Oyj,1,2022,35,8.8995,2,2.87,26.43,854616,3941018,21.69,154.75
Nordic Retail Group Oyj,1,2023,36,8.8742,2,-0.55,0.27,28883,386204,7.48,80.7
Helsinki Digital Services Oy,2,2021,22,7.7954,3,1.45,8.98,564773,4854955,11.63,131.99
Helsinki Digital Services Oy,2,2022,23,7.8642,3,2.55,17.01,374186,3448067,10.85,120.7
Helsinki Digital Services Oy,2,2023,24,7.7753,3,-1.75,13.98,514518,2404739,21.4,166.33
Baltic Air Transport Oyj,3,2021,95,9.2066,3,0.52,9.54,343661,2384257,14.41,146.12
Baltic Air Transport Oyj,3,2022,96,9.1904,2,7.28,-7.51,283740,3540568,8.01,107.58
Baltic Air Transport Oyj,3,2023,97,9.1495,3,3.84,15.97,264226,1770121,14.93,133.48
Aurora Interactive Oy,4,2021,27,8.2257,2,-5.57,5.99,91113,2211751,4.12,79.61
Aurora Interactive Oy,4,2022,28,8.2207,2,-0.13,14.28,274349,1704742,16.09,115.44
Aurora Interactive Oy,4,2023,29,8.1885,3,1.21,15.36,31219,162424,19.22,162.58
Suomi Media House Oy,5,2021,20,7.72,2,-8.01,-12.22,192017,1727771,11.11,85.61
Suomi Media House Oy,5,2022,21,7.712,3,-2.09,13.13,576149,4811393,11.97,112.89
Suomi Media House Oy,5,2023,22,7.6938,1,-6.98,13.09,352582,2757190,12.79,97.72
Nordica Home & Living Oyj,6,2021,31,7.6566,3,-0.59,22.05,92401,925025,9.99,115.37
Nordica Home & Living Oyj,6,2022,32,7.6693,2,5.67,13.37,151194,917166,16.48,148.89
Nordica Home & Living Oyj,6,2023,33,7.6808,3,2.9,1.71,358212,2958840,12.11,105.36
Fenno Industrial Group Abp,7,2021,340,8.9695,2,15.41,11.66,361039,2734111,13.21,98.98
Fenno Industrial Group Abp,7,2022,341,9.008,1,-0.87,13.99,88022,2393772,3.68,60.06
Fenno Industrial Group Abp,7,2023,342,8.9952,1,-2.35,15.39,-96562,1637363,-5.9,21.36
Lakeland Wellness Oyj,8,2021,65,8.385,2,9.97,-8.71,32981,583317,5.65,96.19
Lakeland Wellness Oyj,8,2022,66,8.3729,3,0.49,0.08,455930,2689126,16.95,153.51
Lakeland Wellness Oyj,8,2023,67,8.3632,3,1.25,5.63,42903,272307,15.76,146.31
Kaira Timber Homes Oy,9,2021,58,7.6392,3,1.5,21.45,7827,76270,10.26,122.8
Kaira Timber Homes Oy,9,2022,59,7.559,1,2.75,36.45,1304891,4687225,27.84,137.75
Kaira Timber Homes Oy,9,2023,60,7.5732,3,-1.24,7.91,163209,1432522,11.39,145.68
Vaasa Press Oyj,10,2021,110,9.1193,1,-4.62,-3.34,83320,702519,11.86,85.43
Vaasa Press Oyj,10,2022,111,9.1275,3,-1.74,17.06,208310,1603000,13.0,139.05
Vaasa Press Oyj,10,2023,112,9.0954,3,0.47,-9.11,547784,4780335,11.46,126.19
Metro Auto Trading Oyj,11,2021,16,9.1068,3,1.79,-0.34,1256420,4242548,29.61,188.6
Metro Auto Trading Oyj,11,2022,17,9.1362,3,-1.54,-10.01,13645,138292,9.87,110.53
Metro Auto Trading Oyj,11,2023,18,9.0737,3,8.25,-18.82,64791,4212239,1.54,68.7
Keski Regional Media Oyj,12,2021,145,8.8872,1,9.43,-7.16,344916,4092015,8.43,73.04
Keski Regional Media Oyj,12,2022,146,8.8233,1,-6.0,2.14,89931,1014368,8.87,74.47
Keski Regional Media Oyj,12,2023,147,8.7833,2,4.05,12.65,187254,914475,20.48,142.91
